Job Title,Company Name,Salary,Location,Job Description
Software Engineer (Backend development),Centrica,"Bonus, pension and benefits","SL4, Windsor","About the Role We are seeking a talented Software Engineer to join our cross-functional team in Digital Technology Services (DTS) at Centrica. This core function provides engineering services across the company. Our teams are responsible for building, testing, and running their platforms in production. You will work closely with Product Owners to define roadmaps and play a key role in delivering new technology, enabling the growth of Centrica with your SaaS platforms. Key Responsibilities * Build and drive engineering solutions and best practices across Centrica's Integration platforms. * Design, build, and manage end-to-end solutions across various platforms including AWS, Azure, and Salesforce. * Utilize Typescript, Java, Python, and Azure, with services deployed to AWS. * Host platforms on Serverless architectures or microservices on Kubernetes."
Ensoft Software Engineer Internship - Summer 2025,Cisco,Competitive,"Harpenden, Hertfordshire","Software Engineering Internships (Intern) UKPositions are expected to open later in the academic year. To express your interest, please apply above, and well get in touch once these roles become available. Location - Harpenden, Herts Start Date - Summer 2025 8-10 Weeks Placement Our aim is to provide you with a full experience of what it is like to work as part of the Ensoft engineering team. All of our software development teams are responsible for delivering pioneering software technology that helps to run the Internet, delivered to an outstanding quality. We want to help you build experience of this that will be valuable to your future, as well as helping you to decide if this is the career for you."
Software Engineer (Reverse Engineer IDA Pro / GHIDRA),Ernest Gordon Recruitment,"£65000 - £75000 per annum + Sponsorship, Progression, Bonus,","EC1, City of London","Software Engineer (IDA Pro or Ghidra) London - Remote £65,000 - £75,000 + Bonus + Pension + Private Health Ability to sponsor and relocate candidates worldwide to the UK Are you an Software Engineer that wants to work on the most sought after tuning products for the racing market? Do you want to work in an elite team of Engineers that are revolutionising the drag and street racing scene globally? On offer is the chance to work with a global team that are head and shoulders above the competition when it comes to their tuning products that are already the hottest products in the race scene. This business is very R&D focussed and Is constantly working on their next generation tuners, they have had an exceptional 5 years and are now market leaders in this space."
"Software Engineer L5, Model Observability and Lifecycle Management, Machine Learning Platform",Netflix,Competitive,London,"Netflix is one of the worlds leading entertainment services with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Role The Model Observability & Lifecycle Management teams centralized MLOps platform multiplies the productivity of both the Machine Learning Platform (MLP) organization and all ML practitioners across Netflix. We maintain the reliability of ML applications by building systems to catch and diagnose issues as soon as possible, sometimes before they even happen! Were building a comprehensive and centralized system for managing ML models, featuring capabilities like visualization, observability, and performance benchmarking."
Lead Backend Software Engineer,Spectrum It Recruitment Limited,£80000 - £95000 per annum + Bonus + Amazing Benefits,London,"This is an exciting opportunity for a Lead Backend Software Engineer to join an AI/ML-focused product team, specializing in Back-end development with Python / Django. This growing company is expanding their AI software offerings to meet increasing demand for advanced AI features. They seek an experienced Lead Backend Software Engineer to lead an Agile team, staying hands-on across back-end development. * Flexible hybrid working: Just one day per month in their London office. * Leadership role: Guide a team of experienced engineers in building cutting-edge AI-driven products. * Lead and mentor a small team of software engineers. * Implement best practices in software engineering (Agile, SOLID principles, etc.). * Collaborate closely with Product, Tech and Data teams. * Communicate effectively with business stakeholders on project updates. * Python * Django * GCP or AWS"
Trading Software Engineer Intern 2025,MarketAxess,Competitive,London,"Company Description Why does this matter? Because our platform makes trading fixed-income more accessible, ultimately improving transparency, efficiency, and competition in the marketplace. Changing the way an established industry transacts is no easy feat. There will be twists and turns, because no ones ever done this before. But now, more than 2,000 clients around the world rely on our solutions, and that number is only expected to grow in the years ahead. We know where were going. How we get there is up to us. Join us and help Take Us There. The Role There is no better way to experience what a career at MarketAxess has to offer than through our internship programme. As a 2025 Summer intern with MarketAxess, you will grow your skills through on-the-job training and professional development classroom training."
Junior Software Engineer - Early Stage Start-Up,Oho Group,£40000 - £50000 per annum,"North London, London, n1 9al","Junior Full-Stack Developer Shape the Future of Tech at an Early-Stage Startup An exciting opportunity has arisen for an ambitious Junior Full-Stack Developer to join a dynamic early-stage startup. This is a chance to take on real responsibility, shape innovative technology, and make a lasting impact from the very start. The company is on a mission to transform industries and improve lives through cutting-edge AI solutions. They are seeking a talented individual who thrives on autonomy, is eager to make a difference, and has a proven track record of building and experimenting whether through personal projects, internships, or academic pursuits. This role is ideal for someone with strong technical skills, a proactive mindset, and a passion for creating technology that solves real-world challenges."
Junior Full Stack Software Engineer - Tech For Good Start Up,Oho Group,£40000 - £50000 per annum,"North London, London, N1 9AL","Junior Full-Stack Developer Impactful Tech Startup Looking for a role where you can make a real impact? Join an early-stage startup building cutting-edge AI solutions that are transforming industries and improving lives. Theyre on a mission to create positive, meaningful tech that makes a difference, and need a passionate Full-Stack Developer to help get them there. This is a chance to be part of something special, work on impactful projects, and shape the future of innovative technology. If you're excited by the idea of building tech that drives change, solves real-world problems, and delivers lasting impact, this is the opportunity for you. * 2.1 from a Top Russell Group University in a relevant field * Experience with Next.js, React Native, AWS, and Python * Familiarity with Git, Docker, and CI/CD pipelines * Strong problem-solving skills"
Lead Software Engineer - Scala,DISNEY,Competitive,London,"As a Lead Software Engineer within Identity Engineering you will enable a squad of engineers to deliver large, exciting initiatives. You will contribute to and be part of an engaging, dynamic and inclusive engineering organisation. Lead Software Engineers are empowered to make important architectural decisions and to build a roadmap of future changes working in partnership with peers across Product, Project Management, and Engineering. We follow Scrum and Agile principles, make use of continuous integration and deployment, believe in phenomenal collaboration, and our motivated by a shared commitment to continuous learning and improvement."
Lead Quantitative Software Engineer – Java – Intraday Risk,Deutsche Bank,Competitive,London,"Position Overview Job Title Lead Quantitative Software Engineer Java Intraday Risk Location London Corporate Title Vice President Group Strategic Analytics is part of Group Chief Operation Office (COO) which acts as the bridge between the Banks businesses and infrastructure functions to help deliver the efficiency, control, and transformation goals of the Bank. You will be joining the Debt Strats team within Group Strategic Analytics. The group is responsible for delivering platforms to solve quantitative problems for Investment Banking trading businesses. You will be part of the IRiS Intraday Risk and profit & loss (P&L) application team. IRiS is used by over 200 traders globally and provides ticking and event-driven intraday risk and P&L for Rates, Credit and Emerging Markets trading desks."
